#,Business Name,Phone,City,State,Niche,Source,Campaign,Status
1,AC Electric Austin,+15126482449,Austin,TX,Electrical,Original 42,founding-wave1,SMS Sent
2,Apollo Electric AZ,+14805501975,Scottsdale,AZ,Electrical,Original 42,founding-wave1,SMS Sent
3,Dial One Electrical,+15125235007,Austin,TX,Electrical,Original 42,founding-wave1,SMS Sent
4,Dodge Electric,+14809261033,Phoenix,AZ,Electrical,Original 42,founding-wave1,SMS Sent
5,Simple Electric AZ,+16026072515,Phoenix,AZ,Electrical,Original 42,founding-wave1,SMS Sent
6,Watt Masters,+16024857901,Phoenix,AZ,Electrical,Original 42,founding-wave1,SMS Sent
7,Air Design,+17704838402,Conyers,GA,HVAC,Original 42,founding-wave1,New Lead
8,Airco Mechanical,+15125371234,Round Rock,TX,HVAC,Original 42,founding-wave1,SMS Sent
9,All City Heat and Air,+17044444700,Charlotte,NC,HVAC,Original 42,founding-wave1,SMS Sent
10,"Apex Pros Plumbing, Electrical, Heating and Air",+16149878100,Dublin,OH,HVAC,Original 42,founding-wave1,SMS Sent
11,Bradham Comfort Services,+17049121456,Charlotte,NC,HVAC,Original 42,founding-wave1,SMS Sent
12,Casteel Air,+17706915164,Lawrenceville,GA,HVAC,Original 42,founding-wave1,SMS Sent
13,"Coast to Coast Heating & Air, LLC",+13522344978,Ocala,FL,HVAC,Original 42,founding-wave1,New Lead
14,Forza Services,+15732509000,Farmingdale,NY,HVAC,Original 42,founding-wave1,DND Blocked
15,Gerald Griffin Heating & Air,+17704220446,Atlanta,GA,HVAC,Original 42,founding-wave1,SMS Sent
16,Heath's Air,+14806267982,Phoenix,AZ,HVAC,Original 42,founding-wave1,SMS Sent
17,Heights AC and Heating,+17133601234,Houston,TX,HVAC,Original 42,founding-wave1,SMS Sent
18,Hogue Services,+17709485577,Atlanta,GA,HVAC,Original 42,founding-wave1,SMS Sent
19,Integrity HVAC,+17044694622,Charlotte,NC,HVAC,Original 42,founding-wave1,SMS Sent
20,Majestic Air Conditioning,+14073745009,Orlando,FL,HVAC,Original 42,founding-wave1,SMS Sent
21,Mandolin HVAC and Plumbing,+18442702345,Raleigh,NC,HVAC,Original 42,founding-wave1,SMS Sent
22,Punbar Air,+18323242622,Houston,TX,HVAC,Original 42,founding-wave1,SMS Sent
23,Roman Cavalry Air Conditioning,+18323184100,Houston,TX,HVAC,Original 42,founding-wave1,SMS Sent
24,Snell Services,+13083376337,Sterling,VA,HVAC,Original 42,founding-wave1,SMS Sent
25,Straight Cool Mechanical,+12105913704,San Antonio,TX,HVAC,Original 42,founding-wave1,SMS Sent
26,TLC Plumbing Heating Cooling Electrical,+15057619644,Albuquerque,NM,HVAC,Original 42,founding-wave1,SMS Sent
27,Terry's AC and Heating,+12814957830,Houston,TX,HVAC,Original 42,founding-wave1,SMS Sent
28,Time Savers Heating & Cooling LLC,+15139097283,Loveland,OH,HVAC,Original 42,founding-wave1,New Lead
29,Total Comfort HVAC & Plumbing,+18045336810,Fredericksburg,VA,HVAC,Original 42,founding-wave1,SMS Sent
30,Lawn Capital,+14047988871,Atlanta,GA,Landscaping,Original 42,founding-wave1,SMS Sent
31,Texas Garden Materials,+18324091931,Houston,TX,Landscaping,Original 42,founding-wave1,SMS Sent
32,919-Plumber,+19197586237,Raleigh,NC,Plumbing,Original 42,founding-wave1,SMS Sent
33,Auger Pros Plumbing,+12142066580,Dallas,TX,Plumbing,Original 42,founding-wave1,SMS Sent
34,Bay Area Plumbing Inc.,+18136200044,Tampa,FL,Plumbing,Original 42,founding-wave1,SMS Sent
35,Flow Plumbing,+12143888210,Houston,TX,Plumbing,Original 42,founding-wave1,SMS Sent
36,Friend's Plumbing,+17274280323,Tampa,FL,Plumbing,Original 42,founding-wave1,SMS Sent
37,Professor Plumb,+14699983310,Dallas,TX,Plumbing,Original 42,founding-wave1,SMS Sent
38,Reeves Family Plumbing,+12143067705,Dallas,TX,Plumbing,Original 42,founding-wave1,SMS Sent
39,Sewer Studs,+18139305250,Tampa,FL,Plumbing,Original 42,founding-wave1,SMS Sent
40,Blue Mountain Roofing,+15204688075,Tucson,AZ,Roofing,Original 42,founding-wave1,SMS Sent
41,Encantada Roofing,+15204457334,Tucson,AZ,Roofing,Original 42,founding-wave1,SMS Sent
42,Ace Electric Co. Inc.,+18042662429,Richmond,VA,Electrical,Manual 64,founding-wave2,New Lead
43,Bradley Electric,+16143922908,Columbus,OH,Electrical,Manual 64,founding-wave2,New Lead
44,Buckeye Electric of Upper Arlington,+16146648800,Columbus,OH,Electrical,Manual 64,founding-wave2,New Lead
45,Care Electric LLC,+16143698737,Columbus,OH,Electrical,Manual 64,founding-wave2,New Lead
46,Connect Electrical Services,+18048445613,Richmond,VA,Electrical,Manual 64,founding-wave2,New Lead
47,Dify Electrical Contracting,+15402592774,Richmond,VA,Electrical,Manual 64,founding-wave2,New Lead
