firstName,lastName,companyName,phone,email,city,state,niche,website,source
,,"Desert Diamond Air Cooling & Heating",+16232462377,,Phoenix,AZ,HVAC,https://desertdiamondhvac.com,Google Maps
,,"Ideal Air Conditioning and Insulation",+14805737604,,Phoenix,AZ,HVAC,https://www.idealairaz.com,Google Maps
,,"1st Choice Plumbing Air & Insulation",+16232923697,,Phoenix,AZ,HVAC,https://1stchoicemechanicalaz.com,Google Maps
,,"Hobaica Services",+16026335555,,Phoenix,AZ,HVAC,https://www.hobaica.com,Google Maps
,,"Benefit Air Conditioning",+16028409229,,Phoenix,AZ,HVAC,http://www.benefitair.com,Google Maps
,,"AZ Perfect Comfort Heating & Cooling",+16028582261,,Phoenix,AZ,HVAC,https://azperfectcomfort.com,Google Maps
,,"Florida Home Air Conditioning",+19049908633,,Jacksonville,FL,HVAC,https://floridahomeac.com,Google Maps
,,"Hammond Heating & Air Conditioning",+19048933341,,Jacksonville,FL,HVAC,https://www.hammondair.com,Google Maps
,,"J&W Heating and Air & Plumbing",+19047805787,,Jacksonville,FL,HVAC,https://www.jandwheatingandair.com,Google Maps
,,"Cool R Us Inc A/C & Heating",+19045920651,,Jacksonville,FL,HVAC,https://www.coolrusnfl.com,Google Maps
,,"Bold City Heating & Air",+19043791648,,Jacksonville,FL,HVAC,https://boldcityac.com,Google Maps
,,"Elite AC",+19044200075,,Jacksonville,FL,HVAC,https://eliteacllc.com,Google Maps
,,"Doctor Drips Plumbing",+16159700047,,Nashville,TN,Plumbing,https://doctordrips.com,Google Maps
,,"615 Plumbing",+16156252386,,Nashville,TN,Plumbing,https://615plumbing.com,Google Maps
,,"Jack Ward & Sons Plumbing Company",+16152050691,,Nashville,TN,Plumbing,https://jackwardandsonsplumbing.com,Google Maps
,,"100 Percent Plumbing",+16154311100,,Nashville,TN,Plumbing,https://100percentplumbingtn.com,Google Maps
,,"Holt Plumbing Company",+16153616001,,Nashville,TN,Plumbing,https://www.holtplumbing.com,Google Maps
,,"Parthenon Plumbing Heating & AC Repair",+16292765129,,Nashville,TN,Plumbing,https://parthenonplumbing.com,Google Maps
,,"Safe Electric and Plumbing",+16142674111,,Columbus,OH,Electrical,https://www.callsafe.com,Google Maps
,,"Buckeye Electric of Upper Arlington",+16146648800,,Columbus,OH,Electrical,https://614electrician.com,Google Maps
,,"R & T Yoder Electric Inc",+16146650445,,Columbus,OH,Electrical,https://www.yoderelectric.com,Google Maps
,,"Quality Electric",+16144319500,,Columbus,OH,Electrical,https://qualityohio.com,Google Maps
,,"Just Right Electric LLC",+16149027605,,Columbus,OH,Electrical,https://justrightelectricllc.com,Google Maps
,,"Bradley Electric",+16143922908,,Columbus,OH,Electrical,https://bradleyelectricohio.com,Google Maps
,,"Care Electric LLC",+16143698737,,Columbus,OH,Electrical,http://www.careelectric.org,Google Maps
