#,Business Name,Phone,Phone (formatted),City,State,Niche,Source,Verification
1,Ace Electric Co. Inc.,+18042662429,(804) 266-2429,Richmond,VA,Electrical,Manual 64,GBP-verified
2,Bradley Electric,+16143922908,(614) 392-2908,Columbus,OH,Electrical,Manual 64,GBP-verified
3,Buckeye Electric of Upper Arlington,+16146648800,(614) 664-8800,Columbus,OH,Electrical,Manual 64,GBP-verified
4,Care Electric LLC,+16143698737,(614) 369-8737,Columbus,OH,Electrical,Manual 64,GBP-verified
5,Connect Electrical Services,+18048445613,(804) 844-5613,Richmond,VA,Electrical,Manual 64,GBP-verified
6,Dify Electrical Contracting,+15402592774,(540) 259-2774,Richmond,VA,Electrical,Manual 64,GBP-verified
7,J&M Electrical Service,+18042765580,(804) 276-5580,Richmond,VA,Electrical,Manual 64,GBP-verified
8,Just Right Electric LLC,+16149027605,(614) 902-7605,Columbus,OH,Electrical,Manual 64,GBP-verified
9,Lauterbach Electric,+18045533900,(804) 553-3900,Richmond,VA,Electrical,Manual 64,GBP-verified
10,Quality Electric,+16144319500,(614) 431-9500,Columbus,OH,Electrical,Manual 64,GBP-verified
11,R & T Yoder Electric Inc,+16146650445,(614) 665-0445,Columbus,OH,Electrical,Manual 64,GBP-verified
12,RK Newman Electric Services,+18044371033,(804) 437-1033,Richmond,VA,Electrical,Manual 64,GBP-verified
13,Safe Electric and Plumbing,+16142674111,(614) 267-4111,Columbus,OH,Electrical,Manual 64,GBP-verified
14,A2Z Builders,+17209029152,(720) 902-9152,Denver,CO,General Contractor,Manual 64,GBP-verified
15,Denver Dream Builders,+13034062225,(303) 406-2225,Denver,CO,General Contractor,Manual 64,GBP-verified
16,Dohn Construction,+13036804565,(303) 680-4565,Denver,CO,General Contractor,Manual 64,GBP-verified
17,Faros Construction Services,+17205945604,(720) 594-5604,Denver,CO,General Contractor,Manual 64,GBP-verified
18,Kalin Construction Corp,+13033507762,(303) 350-7762,Denver,CO,General Contractor,Manual 64,GBP-verified
19,Spectrum General Contractors Inc.,+13033298003,(303) 329-8003,Denver,CO,General Contractor,Manual 64,GBP-verified
