#,Business Name,Phone,Phone (formatted),City,State,Niche,Rating,Reviews,Source,Owner_Name,Owner_Confidence,Owner_Sources,Website
201,Mountainside Air Conditioning Repair,+14809143425,(480) 914-3425,Phoenix,AZ,HVAC,5,527,Google Places API,,none,,https://mountainsideair.com/ac-repair-phoenix-az/
202,SG Mechanical Air,+16237779577,(623) 777-9577,Phoenix,AZ,HVAC,4.9,415,Google Places API,,none,,https://www.sgmechanicalair.com/
203,Your Phoenix HVAC Contractor,+16027534851,(602) 753-4851,Phoenix,AZ,HVAC,5,26,Google Places API,,none,,https://www.heatingcoolingphoenix.com/
56,Supreme Comfort LLC,+16232942831,(623) 294-2831,Phoenix,AZ,HVAC,4.9,165,Google Places API,Jose Melgoza Jr,medium,website,https://supremecomfortaz.com/
206,Zest Plumbing & Drain,+14806181750,(480) 618-1750,Scottsdale,AZ,Plumbing,4.9,1382,Google Places API,,none,,https://callzestplumbing.com/
182,Omnia Plumbing,+14807728342,(480) 772-8342,Scottsdale,AZ,Plumbing,5,156,Google Places API,Mike Oka,medium,website,http://omniaplumbing.com/
208,"Plumbers Near Me, LLC",+16026418882,(602) 641-8882,Scottsdale,AZ,Plumbing,5,1047,Google Places API,,none,,https://plumbersnearme.services/
31,Apple Plumbing Services,+14806648098,(480) 664-8098,Scottsdale,AZ,Plumbing,4.8,240,Google Places API,Randy and Joni,medium,website,https://www.appleplumbingaz.com/
210,Serenity Plumbing,+14807769039,(480) 776-9039,Scottsdale,AZ,Plumbing,5,60,Google Places API,,none,,http://tranquility-plumbing.com/
211,Cactus Plumbing And Air,+14804189912,(480) 418-9912,Scottsdale,AZ,Plumbing,4.8,347,Google Places API,,none,,https://cactusplumbingandair.com/scottsdale-plumber-and-ac-repair/
212,Flush King Plumbing,+16026441950,(602) 644-1950,Scottsdale,AZ,Plumbing,4.8,469,Google Places API,,none,,https://flushking.com/
185,Neighborhood Plumber & Drain Service,+16027559098,(602) 755-9098,Scottsdale,AZ,Plumbing,5,228,Google Places API,Forrest Hendershot,medium,website,https://azneighborhoodplumber.com/scottsdale-affordable-plumber-experts
214,Merit Plumbing Services,+16235266511,(623) 526-6511,Scottsdale,AZ,Plumbing,4.9,254,Google Places API,,none,,http://meritplumbingservices.com/
216,Platinum Services Plumbing,+14802469330,(480) 246-9330,Scottsdale,AZ,Plumbing,5,101,Google Places API,,none,,https://m.facebook.com/platinumservicesacr/
217,AZ Home Services Group AC Repair & Plumbing Services of Scottsdale,+14809233969,(480) 923-3969,Scottsdale,AZ,Plumbing,5,49,Google Places API,,none,,https://azhomeservices.group/service-areas/scottsdale-arizona-air-conditioner-plumbing-services/
218,All Season Plumbing And Air,+16233048128,(623) 304-8128,Scottsdale,AZ,Plumbing,4.8,232,Google Places API,,none,,https://allseasonsplumbingandair.com/scottsdale/
