#,Score,Business Name,Phone,Phone (formatted),City,State,TZ,Niche,Rating,Reviews,Source,Verification,Original Phone
1,86,"Galgon HVAC & Mechanical Service, Inc.",+14043521500,(404) 352-1500,Atlanta,GA,ET,HVAC,4.7,35,Google Places API,GBP-verified,
2,86,HVAC Guyz & Plumbing Inc,+14702554535,(470) 255-4535,Atlanta,GA,ET,HVAC,4.8,37,Google Places API,GBP-verified,
3,85,Premier HVAC Mechanical Corporation,+17706964189,(770) 696-4189,Peachtree Corners,GA,ET,HVAC,4.7,71,Google Places API,GBP-verified,
4,83,Coldlife AC - Air Conditioner Services Miami,+13053513087,(305) 351-3087,Miami,FL,ET,HVAC,4.8,119,Google Places API,GBP-verified,
5,83,"Aloha Air Conditioning, Inc.",+19547720079,(954) 772-0079,Fort Lauderdale,FL,ET,HVAC,4.7,143,Google Places API,GBP-verified,
6,81,Residential & Commercial Plumbing Diagnostics of Miami,+17862504557,(786) 250-4557,Miami,FL,ET,Plumbing,4.8,44,Google Places API,GBP-verified,
7,81,Need a Plumber Inc,+19544456443,(954) 445-6443,Fort Lauderdale,FL,ET,Plumbing,4.8,111,Google Places API,GBP-verified,
8,81,1st Class HVAC Contractors Atlanta Inc,+14047799484,(404) 779-9484,Atlanta,GA,ET,HVAC,5,20,Google Places API,GBP-verified,
9,81,Scottsdale Plumbing Co,+14809459583,(480) 945-9583,Scottsdale,AZ,MST,Plumbing,4,45,Google Places API,GBP-verified,
10,80,Reliable Air Conditioning,+13053259283,(305) 325-9283,Miami Beach,FL,ET,HVAC,4.5,132,Google Places API,GBP-verified,
11,80,Pro HVAC Fort Lauderdale Techs,+19545698618,(954) 569-8618,Fort Lauderdale,FL,ET,HVAC,5,24,Google Places API,GBP-verified,
12,80,Expedited Heat & Air,+18139375272,(813) 937-5272,Tampa,FL,ET,HVAC,4.8,117,Google Places API,GBP-verified,
13,80,Total Comfort HVAC Service,+17205864411,(720) 586-4411,Denver,CO,MT,HVAC,4.8,87,Google Places API,GBP-verified,
14,80,All Weather HVAC Denver,+17205814049,(720) 581-4049,Denver,CO,MT,HVAC,4.6,134,Google Places API,GBP-verified,
15,79,Flow -Tech Air Conditioning Corp.,+13052645051,(305) 264-5051,Miami,FL,ET,HVAC,4.8,213,Google Places API,GBP-verified,
16,79,Aircool Miami Services Inc,+13057962724,(305) 796-2724,Homestead,FL,ET,HVAC,4.8,283,Google Places API,GBP-verified,
17,79,Cool Solution Services,+13055050871,(305) 505-0871,Miami,FL,ET,HVAC,4.7,192,Google Places API,GBP-verified,
18,79,Ez Plumbing Repair Services,+17862396529,(786) 239-6529,Miami,FL,ET,Plumbing,5,47,Google Places API,GBP-verified,
19,79,A TEAM SERVICES Heating & Air,+17705165165,(770) 516-5165,Marietta,GA,ET,HVAC,4.6,197,Google Places API,GBP-verified,
20,79,AZ Home Services Group AC Repair & Plumbing Services of Scottsdale,+14809233969,(480) 923-3969,Scottsdale,AZ,MST,Plumbing,5,49,Google Places API,GBP-verified,
21,79,"Kenny's Air Conditioning & Heating Services, Inc.",+18138753669,(813) 875-3669,Tampa,FL,ET,HVAC,4.8,288,Google Places API,GBP-verified,
22,78,AC Repair Miami Beach,+13057604336,(305) 760-4336,Miami Beach,FL,ET,HVAC,5,26,Google Places API,GBP-verified,
23,78,2 Bros Plumbing,+13059103817,(305) 910-3817,Miami,FL,ET,Plumbing,4.8,147,Google Places API,GBP-verified,
24,78,Peppers Heating & Air Conditioning Service Inc.,+17704831282,(770) 483-1282,Atlanta,GA,ET,HVAC,4.9,83,Google Places API,GBP-verified,
25,78,Heating and Air Conditioning Repair,+14043482709,(404) 348-2709,College Park,GA,ET,HVAC,4.9,33,Google Places API,GBP-verified,
26,78,FitzGerald and Sons Plumbing Company,+17707663025,(770) 766-3025,Newnan,GA,ET,Plumbing,4.7,121,Google Places API,GBP-verified,
27,78,Alpha Heating & Cooling Llc.,+12149458799,(214) 945-8799,Dallas,TX,CT,HVAC,5,126,Google Places API,GBP-verified,
28,78,Family First Comfort,+18179358540,(817) 935-8540,Fort Worth,TX,CT,HVAC,4.9,36,Google Places API,GBP-verified,
29,78,Your Phoenix HVAC Contractor,+14802109071,(480) 210-9071,Phoenix,AZ,MST,HVAC,5,26,Google Places API,GBP-corrected,+16027534851
30,78,Tampa AC Services Inc,+17273298483,(727) 329-8483,Tampa,FL,ET,HVAC,5,66,Google Places API,GBP-corrected,+18137977331
31,77,Apple Plumbing Services,+14806648098,(480) 664-8098,Scottsdale,AZ,MST,Plumbing,4.8,240,Google Places API,GBP-verified,
32,77,360 HVAC PRO Heating and Cooling,+17209252051,(720) 925-2051,Commerce City,CO,MT,HVAC,5,139,Google Places API,GBP-verified,
