Business Name,Phone,Phone_Normalized,City,State,Niche,Reviews,Rating,Website,Verified
The Katy Plumbing Company Heating & Air,(281) 653-8269,+12816538269,Houston,TX,HVAC,3450,4.9,,No
John Moore Services,(713) 853-9881,+17138539881,Houston,TX,HVAC,19087,4.7,,No
Air Tech of Houston AC & Plumbing,(832) 680-5546,+18326805546,Houston,TX,HVAC,5753,4.9,,No
Mission Air Conditioning & Plumbing,(281) 502-2062,+12815022062,Houston,TX,HVAC,2842,4.8,,No
Bellaire Air Conditioning,(713) 428-2279,+17134282279,Houston,TX,HVAC,472,4.9,https://www.bellaireair.com,No
The Lee Thompson Co,(713) 688-6900,+17136886900,Houston,TX,HVAC,420,4.9,,No
"All Star A/C, Plumbing & Electrical",(713) 842-9532,+17138429532,Houston,TX,HVAC,1798,4.9,,No
House Pro Air Conditioning,(281) 941-6471,+12819416471,Houston,TX,HVAC,1381,4.7,https://www.houseproac.com,No
Be Cool AC & Heating,(832) 906-6113,+18329066113,Houston,TX,HVAC,575,5.0,,No
"All American AC & Heating, LLC.",(281) 968-4505,+12819684505,Houston,TX,HVAC,925,4.8,https://allamericanacandheat.com,No
One Hour Air Conditioning & Heating of Houston,(281) 407-9754,+12814079754,Houston,TX,HVAC,10085,4.8,https://www.onehourheatandair.com/houston,No
"Master AC and Heat, LLC- The Heights",(713) 750-9769,+17137509769,Houston,TX,HVAC,165,4.8,,No
Royal Air Houston,(832) 334-5959,+18323345959,Houston,TX,HVAC,8264,4.6,https://www.royalairhouston.com,No
"Abacus Plumbing, Air Conditioning, & Electrical",(713) 812-7070,+17138127070,Houston,TX,HVAC,11739,4.7,,No
Richmonds Air,(713) 999-4735,+17139994735,Houston,TX,HVAC,356,4.8,https://www.richmondsair.com,No
Dave Lanes Hi-Tech Mechanical Inc.,(713) 465-6345,+17134656345,Houston,TX,HVAC,1008,4.9,http://www.davelaneair.com,No
75 Degree AC- Houston,(713) 598-2737,+17135982737,Houston,TX,HVAC,222,5.0,https://75degreeac.com,No
Excel Air,(713) 300-2803,+17133002803,Houston,TX,HVAC,453,4.9,,No
Ace Comfort Air Conditioning & Heating,(281) 658-5141,+12816585141,Houston,TX,HVAC,174,5.0,,No
AIRTEAM Heating & Cooling,(713) 936-5346,+17139365346,Houston,TX,HVAC,1450,4.8,http://www.airteamltd.com,No
Houston Smart Air Cooling and Heating,(281) 809-6444,+12818096444,Houston,TX,HVAC,152,4.9,,No
"Peter's Plumbing & Remodeling, LLC",(832) 301-8531,+18323018531,Houston,TX,Plumbing,123,4.9,,No
Houston Plumbing Services,(713) 231-3309,+17132313309,Houston,TX,Plumbing,220,4.9,,No
Nick's Plumbing & Air Conditioning,(713) 868-9907,+17138689907,Houston,TX,Plumbing,4030,4.7,,No
"Village Plumbing, Air & Electric",(281) 607-5357,+12816075357,Houston,TX,Plumbing,9577,4.8,,No
GEI Plumbing Services Houston,(832) 402-8312,+18324028312,Houston,TX,Plumbing,653,4.8,,No
Texas Plumbing,(713) 478-5766,+17134785766,Houston,TX,Plumbing,173,4.6,,No
Texas Quality Plumbing,(713) 385-0349,+17133850349,Houston,TX,Plumbing,3725,4.8,,No
Halo Plumbing Services,(346) 642-5698,+13466425698,Houston,TX,Plumbing,524,4.8,,No
Cooper Plumbing | Houston Plumber,(832) 441-9683,+18324419683,Houston,TX,Plumbing,510,4.9,,No
David Hicks Plumbing,(713) 528-0141,+17135280141,Houston,TX,Plumbing,195,4.6,,No
One plumbing expert houston,(346) 489-5622,+13464895622,Houston,TX,Plumbing,55,5.0,,No
"C&R Plumbing Services, LLC.",(713) 231-8555,+17132318555,Houston,TX,Plumbing,68,4.9,,No
GC&more. Plomeros en Houston & Construction,(832) 454-1397,+18324541397,Houston,TX,Plumbing,146,4.9,,No
Aberle Plumbing LLC,(281) 458-5911,+12814585911,Houston,TX,Plumbing,482,4.9,,No
H-Town Plumbers,(832) 318-0390,+18323180390,Houston,TX,Plumbing,273,4.9,,No
Paul Richard Electric,(832) 206-7990,+18322067990,Houston,TX,Electrical,162,4.7,,No
"A1 Plus Electrical, Plumbing and Air",(832) 509-5747,+18325095747,Houston,TX,Electrical,4558,4.8,,No
Mid-West Electric Company-Houston,(713) 681-0627,+17136810627,Houston,TX,Electrical,50,4.9,,No
Mr. Electric of Houston Midtown,(832) 844-6353,+18328446353,Houston,TX,Electrical,509,4.8,,No
Electrical Masters Company Inc.,(832) 970-3101,+18329703101,Houston,TX,Electrical,102,5.0,,No
Action Electric Co,(713) 392-5795,+17133925795,Houston,TX,Electrical,102,4.9,,No
Colwell Electric,(713) 322-6452,+17133226452,Houston,TX,Electrical,218,4.9,,No
"West Houston Electric, Inc.",(281) 747-8821,+12817478821,Houston,TX,Electrical,2255,4.9,,No
Harvest Electrical Solutions,(832) 584-8448,+18325848448,Houston,TX,Electrical,348,5.0,,No
Camden Electric LLC,(832) 212-3118,+18322123118,Houston,TX,Electrical,51,4.9,,No
Nextdoor Electric,(832) 841-3889,+18328413889,Houston,TX,Electrical,337,4.9,,No
Dynamic Electric Inc,(713) 896-3123,+17138963123,Houston,TX,Electrical,172,4.8,,No
Electrical Works of Houston,(713) 476-0429,+17134760429,Houston,TX,Electrical,56,5.0,,No
Right Touch Electrical West Houston,(281) 519-7485,+12815197485,Houston,TX,Electrical,85,4.9,,No
"Definite Electric, LLC",(832) 580-9613,+18325809613,Houston,TX,Electrical,67,4.9,,No
Mister Sparky Electrician Houston,(713) 428-2120,+17134282120,Houston,TX,Electrical,1129,4.8,,No
Innovative Skylights & Attics,(713) 466-1551,+17134661551,Houston,TX,Roofing,115,4.8,,No
JC&C Roofing Company,(281) 498-7663,+12814987663,Houston,TX,Roofing,397,4.8,,No
Houston Roofing & Construction,(832) 237-3737,+18322373737,Houston,TX,Roofing,326,4.9,,No
Amstill Roofing,(281) 612-8747,+12816128747,Houston,TX,Roofing,1641,4.9,,No
EZ Roof and Construction,(832) 979-5409,+18329795409,Houston,TX,Roofing,544,4.9,,No
"Precision Roof Crafters, Inc.",(713) 497-1211,+17134971211,Houston,TX,Roofing,403,4.9,,No
Priority Roofing,(281) 380-0357,+12813800357,Houston,TX,Roofing,344,5.0,,No
Best Roofing and Construction LLC,(832) 655-5418,+18326555418,Houston,TX,Roofing,52,4.9,,No
All Over Exterior Roofing,(281) 846-6665,+12818466665,Houston,TX,Roofing,240,5.0,,No
Houston Roofing Experts,(713) 291-3866,+17132913866,Houston,TX,Roofing,112,4.9,,No
Monarch Roofing Houston,(832) 215-0987,+18322150987,Houston,TX,Roofing,156,4.7,,No
Advanced Roofing Solutions LLC,(832) 430-7374,+18324307374,Houston,TX,Roofing,230,4.8,,No
State Roofing Company,(281) 293-7000,+12812937000,Houston,TX,Roofing,135,4.9,,No
314 Roofing Solutions,(832) 909-1681,+18329091681,Houston,TX,Roofing,1146,5.0,,No
TX Roofing & Services,(713) 820-2302,+17138202302,Houston,TX,Roofing,83,4.9,,No
Moss Roofing Houston,(832) 840-8027,+18328408027,Houston,TX,Roofing,621,5.0,,No
Rose Roofing,(713) 849-5155,+17138495155,Houston,TX,Roofing,432,4.9,,No
West Shore Home,(866) 727-5031,+18667275031,Houston,TX,General Contractor,890,4.9,,No
HM General Contractors,(713) 947-6548,+17139476548,Houston,TX,General Contractor,62,4.6,,No
Houston Remodeling Contractors,(713) 597-1604,+17135971604,Houston,TX,General Contractor,63,4.2,,No
Houston Construction Pro,(832) 810-5377,+18328105377,Houston,TX,General Contractor,58,5.0,,No
RJT Construction LLC,(832) 979-4175,+18329794175,Houston,TX,General Contractor,111,4.9,,No
Platinum Construction Houston,(832) 803-0984,+18328030984,Houston,TX,General Contractor,63,4.7,,No
SK Houston Constructions,(832) 249-7807,+18322497807,Houston,TX,General Contractor,140,4.9,,No
Unique Builders and Remodeling Houston,(713) 903-3233,+17139033233,Houston,TX,General Contractor,177,4.6,,No
Luxurious Construction LLC,(281) 901-2563,+12819012563,Houston,TX,General Contractor,89,5.0,,No
Manuel and Sons Service Co.,(210) 549-4839,+12105494839,San Antonio,TX,HVAC,160,4.8,,No
Goettl Air Conditioning and Plumbing - San Antonio TX,(210) 460-3966,+12104603966,San Antonio,TX,HVAC,10307,4.8,,No
TemperaturePro San Antonio,(210) 624-8776,+12106248776,San Antonio,TX,HVAC,858,5.0,,No
Rosenberg Plumbing & Air,(210) 503-7388,+12105037388,San Antonio,TX,HVAC,2540,4.9,,No
ASC Heating & Air Conditioning,(210) 761-5130,+12107615130,San Antonio,TX,HVAC,530,4.9,,No
Air Authority LLC,(210) 809-6493,+12108096493,San Antonio,TX,HVAC,618,4.8,,No
Will Fix It,(210) 866-8048,+12108668048,San Antonio,TX,HVAC,8854,4.6,,No
Champion AC - Climate Magic,(210) 972-8796,+12109728796,San Antonio,TX,HVAC,440,4.9,,No
Comfort-Air Engineering & Primo Plumbing,(210) 672-1874,+12106721874,San Antonio,TX,HVAC,481,4.8,,No
Cowboy's Air Conditioning & Heating,(210) 405-8925,+12104058925,San Antonio,TX,HVAC,3911,4.7,,No
Radiant Plumbing & Air Conditioning,(210) 934-3761,+12109343761,San Antonio,TX,HVAC,2135,4.8,,No
Zero Heating AC & Refrigeration,(210) 900-0824,+12109000824,San Antonio,TX,HVAC,517,5.0,,No
Zimmermann Air Conditioning & Heating,(210) 340-8283,+12103408283,San Antonio,TX,HVAC,1091,4.9,,No
AC Doctors,(210) 543-2237,+12105432237,San Antonio,TX,HVAC,285,4.9,,No
Air Dynamics Mechanical,(210) 852-3535,+12108523535,San Antonio,TX,HVAC,225,4.9,,No
EZ Air Conditioning & Heating,(210) 558-7883,+12105587883,San Antonio,TX,HVAC,582,4.9,,No
AIR SYSTEMS A/C-HEATING AND REFRIGERATION,(210) 738-2665,+12107382665,San Antonio,TX,HVAC,294,4.9,,No
Blueline Heating & Air Conditioning LLC,(210) 686-5500,+12106865500,San Antonio,TX,HVAC,321,5.0,,No
Reliant Plumbing - San Antonio,(210) 468-8020,+12104688020,San Antonio,TX,Plumbing,556,4.7,,No
George Plumbing Co.,(210) 740-0748,+12107400748,San Antonio,TX,Plumbing,569,4.9,,No
"Big City Plumbing, LLC",(210) 499-1010,+12104991010,San Antonio,TX,Plumbing,1142,4.9,,No
City Base Plumbing,(210) 724-6225,+12107246225,San Antonio,TX,Plumbing,405,4.9,,No
San Antonio Plumbing,(210) 520-3333,+12105203333,San Antonio,TX,Plumbing,1052,4.8,,No
Chambliss Plumbing Company,(210) 797-7471,+12107977471,San Antonio,TX,Plumbing,1433,5.0,,No
1st Call Plumbing & AC,(210) 446-0200,+12104460200,San Antonio,TX,Plumbing,1968,4.9,,No
Ambition Plumbing & Drain Services,(210) 209-3510,+12102093510,San Antonio,TX,Plumbing,594,4.9,,No
J. R.'s Plumbing,(210) 731-8433,+12107318433,San Antonio,TX,Plumbing,107,4.4,,No
Mr. Plumber Plumbing Co.,(210) 684-7010,+12106847010,San Antonio,TX,Plumbing,1641,4.8,,No
PlumbSmart,(210) 810-0810,+12108100810,San Antonio,TX,Plumbing,1020,4.9,,No
Mai Vu Plumbing,(210) 393-1488,+12103931488,San Antonio,TX,Plumbing,531,4.9,,No
Smith & Sons Plumbing,(210) 338-0046,+12103380046,San Antonio,TX,Plumbing,157,4.9,,No
Beyer Plumbing Company,(210) 245-8053,+12102458053,San Antonio,TX,Plumbing,139,4.9,,No
Roadrunner Plumbing & Air,(210) 763-2721,+12107632721,San Antonio,TX,Plumbing,649,4.9,,No
J.C. Enriquez Plumbing & Restoration,(210) 830-8243,+12108308243,San Antonio,TX,Plumbing,418,4.5,,No
Juan's Plumbing Services,(210) 514-3476,+12105143476,San Antonio,TX,Plumbing,141,4.9,,No
Denali Electric LLC,(210) 328-1115,+12103281115,San Antonio,TX,Electrical,152,5.0,,No
Citywide Electric,(210) 857-0899,+12108570899,San Antonio,TX,Electrical,153,4.9,,No
Jireh Electric - Electrician San Antonio TX,(210) 405-4407,+12104054407,San Antonio,TX,Electrical,537,4.9,,No
Mr. Electric of San Antonio,(210) 468-1100,+12104681100,San Antonio,TX,Electrical,1149,4.8,,No
Bolt Electric,(210) 545-2658,+12105452658,San Antonio,TX,Electrical,304,4.9,,No
Absolute Power Electrical Contractors,(210) 647-3138,+12106473138,San Antonio,TX,Electrical,355,4.9,,No
Allgood Electric,(210) 255-4663,+12102554663,San Antonio,TX,Electrical,766,4.8,,No
Sunbelt Electric San Antonio,(210) 765-2434,+12107652434,San Antonio,TX,Electrical,82,4.7,,No
All Star Electric,(210) 391-0274,+12103910274,San Antonio,TX,Electrical,106,4.7,,No
"Wired Generations Electrical Contractors, LLC",(726) 800-4519,+17268004519,San Antonio,TX,Electrical,99,5.0,,No
LM Electric,(830) 318-6993,+18303186993,San Antonio,TX,Electrical,52,4.9,,No
Pro Electric San Antonio,(726) 762-9737,+17267629737,San Antonio,TX,Electrical,50,4.5,,No
Bell Electric LLC,(210) 422-5547,+12104225547,San Antonio,TX,Electrical,113,4.8,,No
"4A Electrical Services, LLC",(210) 621-8687,+12106218687,San Antonio,TX,Electrical,291,5.0,,No
KJ Electric Co. Inc.,(210) 736-6155,+12107366155,San Antonio,TX,Electrical,51,4.8,,No
