Business Name,Phone,Phone_Display,City,State,Niche,Reviews,Rating,Verification,Original Phone,Owner_Name,Owner_Confidence,Owner_Sources,Website
The Katy Plumbing Company Heating & Air,+12816388429,(281) 638-8429,Houston,TX,HVAC,3450,4.9,GBP-corrected,(281) 653-8269,,none,,http://www.yourkpc.com/
John Moore Services,+17138539881,(713) 853-9881,Houston,TX,HVAC,19087,4.7,GBP-verified,,,none,,http://www.johnmooreservices.com/
Air Tech of Houston AC & Plumbing,+18326805546,(832) 680-5546,Houston,TX,HVAC,5753,4.9,GBP-verified,,,none,,https://www.airtechofhouston.com/locations/houston-tx/
Mission Air Conditioning & Plumbing,+12815022062,(281) 502-2062,Houston,TX,HVAC,2842,4.8,GBP-verified,,,none,,https://www.missionac.com/locations/houston-tx/
Bellaire Air Conditioning,+17134282279,(713) 428-2279,Houston,TX,HVAC,472,4.9,GBP-verified,,Rusty Miller,medium,website,https://www.bellaireair.com/
The Lee Thompson Co,+17136886900,(713) 688-6900,Houston,TX,HVAC,420,4.9,GBP-verified,,Scott Thompson,medium,website,https://www.leethompsonac.com/
"All Star A/C, Plumbing & Electrical",+15135637221,(513) 563-7221,Houston,TX,HVAC,1798,4.9,GBP-corrected,(713) 842-9532,,none,,https://allstarairtexas.com/
House Pro Air Conditioning,+12819416471,(281) 941-6471,Houston,TX,HVAC,1381,4.7,GBP-verified,,,none,,https://www.houseproac.com/
Be Cool AC & Heating,+18329066113,(832) 906-6113,Houston,TX,HVAC,575,5.0,GBP-verified,,Beau Brown,medium,website,https://becoolachouston.com/
"All American AC & Heating, LLC.",+12819684505,(281) 968-4505,Houston,TX,HVAC,925,4.8,GBP-verified,,,none,,https://allamericanacandheat.com/
One Hour Air Conditioning & Heating of Houston,+12814079754,(281) 407-9754,Houston,TX,HVAC,10085,4.8,GBP-verified,,,none,,https://www.onehourheatandair.com/houston/
"Master AC and Heat, LLC- The Heights",+17137509769,(713) 750-9769,Houston,TX,HVAC,165,4.8,GBP-verified,,,none,,http://masteracandheat.com/
Royal Air Houston,+18323345959,(832) 334-5959,Houston,TX,HVAC,8264,4.6,GBP-verified,,George Saleh,medium,website,https://www.royalairhouston.com/
"Abacus Plumbing, Air Conditioning, & Electrical",+17138127070,(713) 812-7070,Houston,TX,HVAC,11739,4.7,GBP-verified,,Alan O’Neill,medium,website,https://www.abacusplumbing.net/
Richmonds Air,+17139994735,(713) 999-4735,Houston,TX,HVAC,356,4.8,GBP-verified,,,none,,
Dave Lanes Hi-Tech Mechanical Inc.,+17134656345,(713) 465-6345,Houston,TX,HVAC,1008,4.9,GBP-verified,,,none,,
75 Degree AC- Houston,+17135982737,(713) 598-2737,Houston,TX,HVAC,222,5.0,GBP-verified,,,none,,https://75degreeac.com/
Excel Air,+17133002803,(713) 300-2803,Houston,TX,HVAC,453,4.9,GBP-verified,,Mauricio Arreguin,medium,website,http://www.excelairconditioning.com/
Ace Comfort Air Conditioning & Heating,+12816585141,(281) 658-5141,Houston,TX,HVAC,174,5.0,GBP-verified,,Abram Ayala,medium,website,http://www.acecomfort-tx.com/
AIRTEAM Heating & Cooling,+17139365346,(713) 936-5346,Houston,TX,HVAC,1450,4.8,GBP-verified,,,none,,http://www.airteamltd.com/
Houston Smart Air Cooling and Heating,+12818096444,(281) 809-6444,Houston,TX,HVAC,152,4.9,GBP-verified,,Jay Jahantash,medium,website,https://www.houstonsmartair.com/
