Rank,Business Name,Phone,Phone_Display,City,State,Niche,Score,TZ,Type
1,CALLBACK: Punbar Air (Ronald),+18323242622,(832) 324-2622,Houston,TX,HVAC,95,CT,callback
2,CALLBACK: Elite AC,+19044200075,(904) 420-0075,Jacksonville,FL,HVAC,90,ET,callback
3,CALLBACK: Total Comfort HVAC,+18045336810,(804) 533-6810,Richmond,VA,HVAC,88,ET,callback
4,CALLBACK: Hammond Heating,+19048933341,(904) 893-3341,Jacksonville,FL,HVAC,85,ET,callback
5,"Galgon HVAC & Mechanical Service, Inc.",+14043521500,(404) 352-1500,Atlanta,GA,HVAC,86,ET,fresh
6,HVAC Guyz & Plumbing Inc,+14702554535,(470) 255-4535,Atlanta,GA,HVAC,86,ET,fresh
7,Premier HVAC Mechanical Corporation,+17706964189,(770) 696-4189,Peachtree Corners,GA,HVAC,85,ET,fresh
8,Coldlife AC - Air Conditioner Services Miami,+13053513087,(305) 351-3087,Miami,FL,HVAC,83,ET,fresh
9,"Aloha Air Conditioning, Inc.",+19547720079,(954) 772-0079,Fort Lauderdale,FL,HVAC,83,ET,fresh
10,Residential & Commercial Plumbing Diagnostics of Miami,+17862504557,(786) 250-4557,Miami,FL,Plumbing,81,ET,fresh
11,Need a Plumber Inc,+19544456443,(954) 445-6443,Fort Lauderdale,FL,Plumbing,81,ET,fresh
12,1st Class HVAC Contractors Atlanta Inc,+14047799484,(404) 779-9484,Atlanta,GA,HVAC,81,ET,fresh
13,Reliable Air Conditioning,+13053259283,(305) 325-9283,Miami Beach,FL,HVAC,80,ET,fresh
14,Pro HVAC Fort Lauderdale Techs,+19545698618,(954) 569-8618,Fort Lauderdale,FL,HVAC,80,ET,fresh
15,Expedited Heat & Air,+18139375272,(813) 937-5272,Tampa,FL,HVAC,80,ET,fresh
16,Flow -Tech Air Conditioning Corp.,+13052645051,(305) 264-5051,Miami,FL,HVAC,79,ET,fresh
17,Aircool Miami Services Inc,+13057962724,(305) 796-2724,Homestead,FL,HVAC,79,ET,fresh
18,Cool Solution Services,+13055050871,(305) 505-0871,Miami,FL,HVAC,79,ET,fresh
19,Ez Plumbing Repair Services,+17862396529,(786) 239-6529,Miami,FL,Plumbing,79,ET,fresh
20,Alpha Heating & Cooling Llc.,+12149458799,(214) 945-8799,Dallas,TX,HVAC,78,CT,fresh
21,Family First Comfort,+18179358540,(817) 935-8540,Fort Worth,TX,HVAC,78,CT,fresh
22,Dallas Heating and Air Conditioning,+19724230012,(972) 423-0012,Dallas,TX,HVAC,76,CT,fresh
23,Unlimited Air Conditioning and Heating,+19459987066,(945) 998-7066,Dallas,TX,HVAC,76,CT,fresh
24,Aire Serv of Dallas,+12148387191,(214) 838-7191,Dallas,TX,HVAC,76,CT,fresh
25,Texas Discount Air,+19725236625,(972) 523-6625,Fort Worth,TX,HVAC,76,CT,fresh
26,Metro Air Conditioning Heating & Services,+12143047658,(214) 304-7658,Dallas,TX,HVAC,74,CT,fresh
27,Jake the Plumbing Pro,+12147518381,(214) 751-8381,Dallas,TX,Plumbing,74,CT,fresh
