Business Name,Phone,City,State,Niche,Rating,Reviews,Website,Address,Pain Score,Pain Evidence,Source,Verified,Hours
Priority Roofing,"
(469) 615-8193",Dallas,TX,roofing,5.0,939,"
priorityroofs.com","1420 W Mockingbird Ln Suite 540, Dallas, TX 75247, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Reveles Roofing,"
(214) 900-8930",Dallas,TX,roofing,5.0,209,"
revelesroofing.com","5101 Parry Ave, Dallas, TX 75223, USA",5,Closes at 2:00 PM | Closed weekends,after_hours,YES,
Blue Hammer Roofing,"
(469) 564-8357",Dallas,TX,roofing,4.9,1247,"
bluehammerroofing.com","8330 Lyndon B Johnson Fwy B604, Dallas, TX 75243, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
White Rock Roofing,"
(972) 362-9647",Dallas,TX,roofing,5.0,206,"
roofwhiterock.com","3500 Oak Lawn Ave #460, Dallas, TX 75219, USA",5,Closes at 3:00 PM | Closed weekends,after_hours,YES,
JonLe Heating & Cooling,"
(513) 662-2282",Cincinnati,OH,HVAC,4.9,799,"
jonle.com","4117 Bridgetown Rd, Cincinnati, OH 45211, USA",5,Closes at 3:00 PM | Closed weekends,after_hours,YES,
Halpin Plumbing Inc,"
(513) 790-6985",Cincinnati,OH,plumbing,4.9,1141,"
halpinplumbing.com","5177 Fishwick Dr, Cincinnati, OH 45216, USA",5,Closes at 4:30 PM | Closed weekends,after_hours,YES,
Nieman Plumbing,"
(513) 851-5588",Cincinnati,OH,plumbing,4.8,499,"
niemanplumbing.com","2030 Stapleton Ct, Cincinnati, OH 45240, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Leitner Electric Co,"
(513) 643-2113",Cincinnati,OH,electrical,4.9,112,"
leitnerelectric.com","11260 Cornell Park Dr Suite #707, Blue Ash, OH 45242, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Frey Electric Inc,"
(513) 385-0700",Cincinnati,OH,electrical,4.3,49,"
freyelectric.com","5700 Cheviot Rd, Cincinnati, OH 45247, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Molloy Roofing Company,"
(513) 791-7400",Cincinnati,OH,roofing,4.8,276,"
molloyroofing.com","11099 Deerfield Rd, Cincinnati, OH 45242, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
"Deer Park Roofing, LLC","
(513) 224-5479",Cincinnati,OH,roofing,4.8,689,"
deerparkroofing.com","7201 Blue Ash Rd, Cincinnati, OH 45236, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
"R & T Yoder Electric, Inc - Central Columbus","
(614) 665-0445",Columbus,OH,electrical,4.9,110,"
yoderelectric.com","1581 N High St STE 109, Columbus, OH 43201, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Quality Electric,"
(614) 431-9500",Columbus,OH,electrical,4.6,177,"
qualityohio.com","6200 Huntley Rd Suite D, Columbus, OH 43229, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Ramos Roofing,"
(614) 761-7663",Columbus,OH,roofing,4.9,376,"
ramosroofingohio.com","201 Oak St, Columbus, OH 43235, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
"Newman Roofing, LLC","
(614) 639-7663",Columbus,OH,roofing,5.0,1057,"
newmanroofing.com","825 Kintner Pkwy, Sunbury, OH 43074, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Muth & Company Roofing,"
(614) 882-0900",Columbus,OH,roofing,4.8,398,"
muthroofing.com","5951 Westerville Rd, Westerville, OH 43081, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
JF Baker Roofing Company,"
(614) 297-7663",Columbus,OH,roofing,5.0,82,"
jfbakerroofing.com","1496 Delashmut Ave, Columbus, OH 43212, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Yunger-Allen Electrical Contractors Systems and Solutions LLC,"
(404) 939-3184",Atlanta,GA,electrical,5.0,43,"
yunger-allenelectrical.com","2002 Summit Blvd NE STE 300, Atlanta, GA 30319, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Atlanta Roofing Specialists,"
(770) 284-6885",Atlanta,GA,roofing,4.9,359,"
atlantaroofingspecialists.com","1232 Sandtown Rd SW, Marietta, GA 30008, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Carolina Electric Pro’s,"
(704) 713-3793",Charlotte,NC,electrical,4.9,659,"
carolinaelectricpros.com","224 Foster Ave Suite A, Charlotte, NC 28203, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Baker Roofing Company,"
(704) 587-3737",Charlotte,NC,roofing,4.7,60,"
bakerroofing.com","5432 Wyoming Ave, Charlotte, NC 28273, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Hardy Electric,"
(615) 883-4003",Nashville,TN,electrical,4.9,115,"
hardyelectric.net","241 Craigmeade Dr #2406, Nashville, TN 37214, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Dodd Electric,"
(615) 269-9994",Nashville,TN,electrical,4.4,33,"
doddelectric.com","2506 White Ave, Nashville, TN 37204, USA",5,Closes at 3:00 PM | Closed weekends,after_hours,YES,
"Groves Electric, Inc.","
(813) 789-3400",Tampa,FL,electrical,5.0,165,"
groveselectricinc.com","530 Luzon Ave, Tampa, FL 33606, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Blue Heating and Cooling,"
(816) 719-1099",Kansas,MO,HVAC,5.0,698,"
blueheatingandcooling.com","9926 MO-45, Parkville, MO 64152, USA",5,Closes at 4:30 PM | Closed weekends,after_hours,YES,
Jeremy Electrical,"
(913) 375-0070",Kansas,MO,electrical,4.9,689,"
jeremykc.com","4908 Johnson Dr, Mission, KS 66205, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Pure Light Electric LLC,"
(913) 278-6049",Kansas,MO,electrical,5.0,142,"
purelightelectric.com","1800 Central St #202, Kansas City, MO 64108, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Christian Brothers Roofing LLC,"
(816) 453-7663",Kansas,MO,roofing,5.0,1778,"
christianbrothersroofingllc.com","7514 N Oak Trafficway, Gladstone, MO 64118, USA",5,Closes at 3:00 PM | Closed weekends,after_hours,YES,
JR & Co.,"
(816) 587-6148",Kansas,MO,roofing,4.8,301,"
jrcousa.com","1201 W 31st St #1, Kansas City, MO 64108, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Garcia Roofing Kansas City,"
(816) 286-7387",Kansas,MO,roofing,5.0,199,"
garciaroofing.biz","119 W Gregory Blvd, Kansas City, MO 64113, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Century Roofing,"
(913) 422-0099",Kansas,MO,roofing,4.8,357,"
centuryroofingkc.com","6 S 59th St Ln, Kansas City, KS 66102, USA",5,Closes at 4:00 PM | Closed weekends,after_hours,YES,
Premier Roofing Company,"
(816) 254-7663",Kansas,MO,roofing,4.4,398,"
premier-roofing.com","10580 Barkley St # 450, Overland Park, KS 66212, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Easton Roofing,"
(913) 257-5426",Kansas,MO,roofing,4.8,390,"
eastonroofing.com","1707 W 39th Ave, Kansas City, KS 66103, USA",5,Closes at 5:00 PM | Closed weekends,after_hours,YES,
Bone Dry Roofing,"
(629) 225-7067",Nashville,TN,roofing,4.8,301,"
bonedry.com","4201 Sidco Dr, Nashville, TN 37204, USA",3,"[1*] ""Unresponsive and dishonest pricing. I had an estimate done 4 months ago for some repairs and loved o..."" (keyword: no response)",pain_signal,YES,
National Economy Plumbers,"
(901) 278-4242",Memphis,TN,plumbing,4.6,135,"
nationaleconomyplumbers.com","2114 Southern Ave, Memphis, TN 38114, USA",3,"[1*] ""I Do Not Recommend National Economy Plumbers.  Nothing economy about $1,080 in labor for replacing 2..."" (keyword: tried calling)",pain_signal,YES,
"Bluff City Electrical Contractors, LLC","
(901) 245-8765",Memphis,TN,electrical contractor,4.5,25,"
bluffcityelectrical.com","5770 US-51, Memphis, TN 38127, USA",3,"[1*] ""Very poor communication all around. Company never checked in or out when arriving to the job as dire..."" (keyword: no answer)",pain_signal,YES,
Electrical Contractor's Inc,"
(901) 396-6907",Memphis,TN,electrical contractor,4.7,3,,"3412 Winbrook Dr, Memphis, TN 38116, USA",3,No website | Only 3 reviews,pain_signal,YES,
Louisville Hvac Pro’s,"
(502) 553-8534",Louisville,KY,HVAC,4.9,129,"
louisvillehvacpros.com","10810 Holsclaw Hill Rd, Fairdale, KY 40118, USA",3,"[1*] ""Wow. I’m pretty sure this company is a scam run with AI. I spoke to the owner on Wednesday-the male ..."" (keyword: called multiple times)",pain_signal,YES,
HKC Roofing & Construction,"
(502) 212-1081",Louisville,KY,roofing,4.6,198,"
roofyourhouse.com","5061 Poplar Level Rd, Louisville, KY 40219, USA",3,"[1*] ""Would not recommend. Left paint stains on my driveway, ruined the gutter guards they should have rem..."" (keyword: no response)",pain_signal,YES,
"Allstate Electrical Contractors, Inc","
(405) 235-6543",Oklahoma,OK,electrical contractor,3.0,9,"
allstateelectricokc.com","1524 S May Ave, Oklahoma City, OK 73108, USA",3,Only 9 reviews | Rating: 3,pain_signal,YES,
J. R. Lane Plumbing Co.,"
(919) 231-1388",Raleigh,NC,plumbing,4.7,169,"
laneplumbingraleigh.com","805 Sunnybrook Rd, Raleigh, NC 27610, USA",3,"[5*] ""I genuinely cannot say enough good things about Lane Plumbing. If you’re looking for a plumber who w..."" (keyword: answering machine)",pain_signal,YES,
"Ram Plumbing, Inc.","
(520) 214-1976",Tucson,AZ,plumbing,4.8,454,"
ramplumbingaz.com","2500 N Coyote Dr Suite 112, Tucson, AZ 85745, USA",3,"[4*] ""David Cook was sent out when I found my hot water heater leaking on a Friday night. He was able to s..."" (keyword: tried calling)",pain_signal,YES,
Curtis Plumbing,"
(520) 323-7697",Tucson,AZ,plumbing,4.8,221,"
curtisplumbing.net","4281 E Tennessee St, Tucson, AZ 85714, USA",3,"[5*] ""Woke up Christmas Eve and septic tank was FULL! Called around and got no answer or response from oth..."" (keyword: no answer)",pain_signal,YES,
"Southern Arizona Roof Associates, LLC","
(520) 438-7663",Tucson,AZ,roofing,4.9,88,"
getroof.com","3429 E Kleindale Rd #101, Tucson, AZ 85716, USA",3,"[5*] ""Dan and his team at Southern Arizona Roofing Associates have exceeded my expectations with their exc..."" (keyword: tried calling)",pain_signal,YES,
