First Name,Last Name,Company Name,Phone,Email,City,State,Trade Niche,Tags
Owner,Residential Heating and Air,Residential Heating and Air Conditioning,+16127241899,,Minneapolis,MN,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,O'Boys Plumbing,O'Boys Plumbing Furnace & AC Repair,+17632005622,,Minneapolis,MN,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Blue Ox Heating,Blue Ox Heating & Air,+16513001636,,Minneapolis,MN,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Pronto Heating,Pronto Heating & Air Conditioning,+16124001480,,Minneapolis,MN,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Orlando HVAC Services,Orlando HVAC Services,+13213269050,,Orlando,FL,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Mechanical One Orlando,Mechanical One of Orlando,+14075372795,,Orlando,FL,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Ferran Services,Ferran Air Conditioning Electrical & Plumbing,+14074223551,,Orlando,FL,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,AmeriTech Air,AmeriTech Air & Heat,+14077437106,,Orlando,FL,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Mechanical Air LLC,Mechanical Air LLC,+14079601591,,Orlando,FL,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Rolando's HVAC,Rolando's HVAC,+14073216872,,Orlando,FL,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Gary Munson Heating,Gary Munson Heating and Air Conditioning,+14074227340,,Orlando,FL,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Ray N Welter Heating,Ray N. Welter Heating Company,+16127222432,,Minneapolis,MN,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Boehm Heating,Boehm Heating & Air Conditioning,+16127981404,,Minneapolis,MN,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Standard Heating,Standard Heating & Air Conditioning Inc.,+16128871172,,Minneapolis,MN,HVAC,"niche:hvac, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Salt Lake Plumbing,Salt Lake Plumbing,+18018510080,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,All Hours Plumbing,All Hours Plumbing Heating & Cooling,+18014778471,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Salt City Plumbing,Salt City Plumbing Heating & Air,+18016409785,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Millcreek Plumbing,Millcreek Plumbing Inc.,+18012628543,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Just Right Plumbing,Just Right Plumbing Heating & Cooling,+18013021154,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Manwill Plumbing,Manwill Plumbing & Heating,+18017564844,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Pando Plumbing,Pando Plumbing,+18013684836,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,SOS Heating,S.O.S. Heating & Cooling,+13855577067,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Happy Pipes Plumbing,Happy Pipes Plumbing,+18015553277,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Brighton Plumbing,Brighton Plumbing,+18019236500,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Scott Hale Plumbing,Scott Hale Plumbing Drains Heating & Air,+18012641060,,Salt Lake City,UT,Plumbing,"niche:plumbing, source:lead-sheet, campaign:founding-wave1, status:new-lead"
Owner,Pacific Electric,Pacific Electric Inc,+17027514175,,Las Vegas,NV,Electrical,"niche:electrical, source:lead-sheet, campaign:founding-wave1, status:new-lead"
